OVERLAYS
">Saving",">Сохранить"
">Checking for updates",">Проверка обновлений"

BUTTONS
"> Settings",">Настройки"

MENU ITEMS
">Current page",">Текущая страница"
">Menu",">Меню"
">Files",">Файлы"
">Themes",">Темы"
">Plugins",">Плагины"
">Security

CURRENT PAGE
">Page title",">Заголовок страницы"
">Page keywords",">Ключевые слова страницы"
">Page description",">Описание страницы"
"> Delete page","> Удалить страницу"
"return confirm\('Delete (.*?)\?'\)","return confirm('Удалить $1?')"

MENU
">Website title",">Название сайта"
">Page to display on homepage",">Выберите главную страницу"
">visit",">Просмотр"
"> Add page","> Добавить страницу"
"	"" subpage""",""" Добавить подстраницу"""
"	"">SEO \(Search Engine Optimization\)""","	"">SEO \(Search Engine Optimization\)"""
"	""Generate sitemap.txt and 		robots.txt""","	""Сгенерировать sitemap.txt и robots.txt"""
"	""Delete page""","	""Удалить страницу"""
"	""Hide page from menu""","	""Скрыть страницу из меню"""
"	""Show page in menu""","	""Показать страницу"""

FILES
">Upload",">Загрузить на сервер"
">Delete files",">Удалить файлы"

THEMES AND PLUGINS
"> Check for updates","> Проверка обновлений"
"return confirm\('Remove (.*?)\?'\)","return confirm('Удалить $1?')"
">Active",">Активна"
"Site language config","Настройка языка"
"return confirm\('Activate (.*?) theme\?'\)","return confirm('Активировать $1 тему?')"
"> Activate","> Активировать"
"> Install","> Установить"
">Installed version:",">Установленная версия:"
">Custom repository",">Свой вариант репозитория"
"Enter URL to custom repository","Введите URL репозитория"
"> Add","> Добавить"
"> Read more about custom repositories","> Подробнее добавлении своих репозиториев"
"	"">ON""","	"">Включить"""
"	"">OFF""","	"">Выключить"""
"	""Remove""","	""Удалить"""

SECURITY
">Admin login URL","> URL для входа админа"
">Important: save your login URL to log in to your website next time:",">сохраните/добавьте в закладки ваш URL для входа после изменений:"
">Password",">Пароль"
"Old password","Старый пароль"
"New password","Новый пароль"
"Repeat new password"," Повторите новый пароль"
"> Change password","> Изменить пароль"
"	"">WonderCMS automatically checks for SSL"," 	"">WonderCMS автоматически проверить SSL"
"> How to restore backup","> Как восстанавливать резервные копии?"
">Improved security \(Apache only\)",">Усиленная защита (Работает только с Apache)"
">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Принудительное HTTPS, 30 дневное кеширование, iframes разрешены только с того же источника, защита от сниффинга mime-типов, более строгие политики для cookie и refferer механизмов."
">ON \(warning: may break your website\)",">ВКЛЮЧИТЬ (Внимание: может сломать Ваш вебсайт!)"
">OFF \(reset htaccess to default\)",">ОТКЛЮЧИТЬ (сбросить htaccess файл до дефолта)"
"> Read more before enabling","> Узнать больше перед тем, как включать"
">Backup",">Сохранение"
"Save confirmation popup"," 	Подтверждение сохранения"
"If this is turned ""ON"", WonderCMS will always ask you to confirm any changes you make.","	Если включено, WonderCMS будет просить подтверждать сохранение"
" Force HTTPS","	использовать HTTPS принудительно"
"> Backup website",">Сделать резервную копию сайта"
">Last 5 logins",">Последние 5 сохраненных входов"
">OFF",">ВЫКЛ"
">ON",">ВКЛ"

STATISTICS
">Statistics",">Статистика"
">Today",">Сегодня"
">This week",">На этой неделе"
">Most popular page",">Наиболее популярная страница"
">Pageviews last two weeks",">Просмотры за последние две недели"
">Sessions last two weeks",">Сессии за последние две недели"
">Sessions",">Сессии"
">Pageviews",">Просмотры"

FOOTER
">News",">Новости"
">Community",">Сообщество"
">Docs",">Документация"
">Donate",">Поддержать разработчика"
">Shop\/Merch","Shop\/Merch"
